year,gviap_AUD,gviap_billion
2006,7665237374.977101,7.665
2007,6307247130.042481,6.307
2008,6293965512.191608,6.294
2009,5359275031.433784,5.359
2010,5252560089.57278,5.253
2011,7259134056.717669,7.259
2012,7505789470.009475,7.506
2013,7726758631.674736,7.727
2014,7760851068.774391,7.761
2015,7516061926.727582,7.516
2016,7116557264.5612955,7.117
2017,7422615670.697131,7.423
2018,8617897819.819426,8.618
2019,7245153730.663404,7.245
2020,5976375924.8587475,5.976
