year,total_runoff_GL,gviap_billion
2006,5071.388310857143,7.665
2007,3553.189266746032,6.307
2008,4313.951889746032,6.294
2009,4628.444545214286,5.359
2010,6095.0045007936515,5.253
2011,9797.941556984128,7.259
2012,7638.848806031746,7.506
2013,3579.534460857143,7.727
2014,4600.121757301587,7.761
2015,4347.5945387460315,7.516
2016,4555.018352603175,7.117
2017,6646.312411904762,7.423
2018,4175.008067142857,8.618
2019,3659.8723753809522,7.245
2020,4664.240770968254,5.976
