year,volume_ML
2006,7286585.121845836
2007,4444954.224589211
2008,3168242.0977473212
2009,3537812.704422373
2010,3480959.058945403
2011,4653358.051442517
2012,5929310.478648923
2013,8337702.908019612
2014,7606615.726777984
2015,5930577.319596282
2016,5094659.547495288
2017,6488108.831588899
2018,6999051.246234336
2019,4476221.55489137
2020,2841424.7769305417
